name,type,status,application_service,env,security,netcolor,dcloc,loc,os,ips,itsgroup,its_1,maint_vndr,maintexp,maint_sla,verified,impusers
GA-BADGEA-774,Server,Active,Badge/Access Control,QA,Public,Red,PWY-DC1,"Tupelo, MS",Windows Server 2019,10.32.119.123,ITS-EndUser,H. Lewis,CDW,2027-01-14 00:00:00,8x5,2026-04-20 00:00:00,355
JXXBTU67,Application,Maintenance,Database Services,QA,Unclassified,Yellow,AWS-GovCloud,"San Diego, CA",Windows Server 2025,10.64.151.217,ITS-Network,D. Kim,SHI,2028-07-07 00:00:00,24x7x4,2026-07-01 00:00:00,400
GA-FILESE-234,VM,Provisioning,File Services,Prod,Public,Red,PMD-DC1,"Huntsville, AL",Ubuntu 22.04 LTS,10.40.18.188,ITS-AppSupport,D. Kim,Cisco SmartNet,2027-04-06 00:00:00,24x7x2,2026-04-12 00:00:00,99
FVGCKQAW26,Server,Maintenance,Database Services,Test,ITAR,Black,PWY-DC1,"San Diego, CA",Appliance OS 5.1,10.56.147.139,ITS-Infrastructure,M. Williams,CDW,2030-04-20 00:00:00,Best Effort,2026-02-11 00:00:00,145
MSSLYZQU54,Network Device,Active,CI/CD,DR,Public,Green,SD-DC1,Remote/Colo,VMware ESXi 8.0 U3,"10.80.77.18, 10.80.95.203",ITS-Security,K. Chen,Insight,2028-09-08 00:00:00,24x7x4,2026-03-01 00:00:00,201
GA-CADPLM-464P,Server,Maintenance,CAD/PLM,Prod,Unclassified,Blue,HSV-DC1,"Palmdale, CA",Windows Server 2019,"10.40.214.92, 10.40.3.34",ITS-EndUser,N. Clark,CDW,2025-12-05 00:00:00,24x7x2,2026-02-26 00:00:00,309
GA-LICENS-262D,Storage Array,Active,License Server,Prod,ITAR,Red,PWY-DC1,"Poway, CA",Ubuntu 24.04 LTS,10.40.189.195,ITS-Virtualization,M. Williams,CDW,2026-12-07 00:00:00,Best Effort,2026-06-21 00:00:00,111
GA-FILESE-727B,VM,Provisioning,File Services,Dev,ITAR,Green,SD-DC2,Remote/Colo,Windows Server 2025,10.40.122.199,ITS-Security,D. Kim,SHI,2025-12-13 00:00:00,24x7x4,2026-07-23 00:00:00,334
GA-LICENS-705A,VM,Active,License Server,QA,Restricted,Red,SD-DC1,"Tupelo, MS",Windows Server 2025,10.64.76.148,ITS-Virtualization,L. Brown,CDW,2028-06-10 00:00:00,8x5,2026-04-08 00:00:00,49
GA-ERP-143D,Server,Active,ERP,Stage,Confidential,Red,SD-DC2,"Tupelo, MS",RHEL 9.4,"10.40.221.210, 10.40.159.218",ITS-Virtualization,J. Martinez,Cisco SmartNet,2026-09-23 00:00:00,NBD,2026-03-21 00:00:00,122
GA-DATABA-337B,VM,Active,Database Services,Prod,CUI,Red,TUP-DC1,"Palmdale, CA",Windows Server 2016,"10.48.162.105, 10.48.172.82",ITS-Network,A. Garcia,Cisco SmartNet,2027-05-08 00:00:00,NBD,2026-05-22 00:00:00,299
XGVBRY38,Server,Active,Monitoring,Stage,Unclassified,Green,SD-DC2,"Palmdale, CA",VMware ESXi 7.0 U3,10.48.230.171,ITS-Infrastructure,S. Johnson,HPE Pointnext,2029-02-02 00:00:00,Best Effort,2026-04-13 00:00:00,39
GA-HRPORT-028B,VM,Active,HR Portal,Prod,CUI,Black,HSV-DC1,"Tupelo, MS",RHEL 9.4,10.24.114.93,ITS-Network,L. Brown,Cisco SmartNet,2029-06-01 00:00:00,24x7x4,2026-04-16 00:00:00,369
GA-PAYROL-539B,Appliance,Active,Payroll,Prod,Restricted,Yellow,SD-DC1,"Palmdale, CA",Cisco IOS 17.9,"10.80.215.146, 10.80.199.102",ITS-Infrastructure,S. Johnson,CDW,2027-07-09 00:00:00,8x5,2026-03-19 00:00:00,342
GA-CICD-879B,Server,Maintenance,CI/CD,Prod,Unclassified,Yellow,PWY-DC1,Remote/Colo,Ubuntu 22.04 LTS,10.80.219.192,ITS-Storage,E. Robinson,HPE Pointnext,2026-03-28 00:00:00,24x7x4,2026-05-06 00:00:00,91
GA-PAYROL-038A,VM,Active,Payroll,Dev,Restricted,Blue,TUP-DC1,"Tupelo, MS",Ubuntu 22.04 LTS,10.32.24.23,ITS-Security,A. Garcia,Insight,2029-10-31 00:00:00,24x7x2,2026-04-29 00:00:00,391
GA-ERP-444A,Server,Active,ERP,Prod,ITAR,Yellow,SD-DC2,"Tupelo, MS",Windows Server 2016,10.80.67.7,ITS-Network,P. Anderson,Cisco SmartNet,2029-11-27 00:00:00,8x5,2026-05-24 00:00:00,259
GA-MONITO-884A,Appliance,Active,Monitoring,Prod,ITAR,Green,PMD-DC1,"Poway, CA",RHEL 9.5,10.88.55.81,ITS-Infrastructure,K. Chen,CDW,2028-05-08 00:00:00,24x7x2,2026-07-17 00:00:00,227
GA-MONITO-402P,Appliance,Active,Monitoring,Stage,Restricted,Blue,SD-DC1,"Poway, CA",Windows Server 2022,10.16.210.7,ITS-Storage,C. Davis,CDW,2025-11-05 00:00:00,24x7x4,2026-08-01 00:00:00,11
GA-TELEME-668,VM,Maintenance,Telemetry Ingest,Dev,CUI,Black,AWS-GovCloud,"Poway, CA",Appliance OS 5.1,10.64.131.243,ITS-EndUser,A. Garcia,NetApp SupportEdge,2028-05-08 00:00:00,24x7x4,2026-07-25 00:00:00,20
LRXWJMZ30,Storage Array,Active,Email Gateway,Prod,Public,Blue,SD-DC1,Remote/Colo,Ubuntu 24.04 LTS,10.40.41.142,ITS-Storage,C. Davis,Dell ProSupport,2029-08-13 00:00:00,8x5,2026-04-06 00:00:00,202
GA-DOMAIN-069P,Server,Active,Domain Services,Prod,Public,Blue,AWS-GovCloud,"Poway, CA",VMware ESXi 7.0 U3,"10.72.192.179, 10.72.63.248",ITS-Infrastructure,T. Nguyen,Cisco SmartNet,2029-02-08 00:00:00,24x7x4,2026-07-09 00:00:00,25
GA-FILESE-191P,Network Device,Active,File Services,QA,Restricted,Green,SD-DC2,"Poway, CA",Windows Server 2022,10.8.164.93,ITS-Security,N. Clark,HPE Pointnext,2029-05-21 00:00:00,24x7x2,2026-07-08 00:00:00,181
GA-SERVIC-010A,Server,Active,ServiceNow MID,QA,Public,Blue,PMD-DC1,Remote/Colo,Cisco IOS 17.9,10.32.74.130,ITS-Infrastructure,E. Robinson,Dell ProSupport,2028-02-07 00:00:00,8x5,2026-05-21 00:00:00,184
OJLMH64,VM,Decommissioned,Print Services,Prod,CUI,Black,SD-DC2,"Tupelo, MS",Windows Server 2022,10.56.12.191,ITS-Network,R. Patel,Cisco SmartNet,2028-09-03 00:00:00,24x7x4,2026-03-13 00:00:00,339
GA-FILESE-357,Storage Array,Retired,File Services,Dev,Public,Green,PMD-DC1,"Poway, CA",RHEL 9.5,10.48.12.179,ITS-Infrastructure,R. Patel,Insight,2027-02-01 00:00:00,24x7x4,2026-04-29 00:00:00,82
GA-DATABA-938D,Server,Active,Database Services,Prod,Public,Red,HSV-DC1,Remote/Colo,RHEL 9.4,10.96.157.84,ITS-Storage,B. Thomas,Insight,2030-02-27 00:00:00,24x7x2,2026-03-12 00:00:00,363
MIXBQ20,VM,Active,ServiceNow MID,Test,Unclassified,Black,TUP-DC1,"San Diego, CA",VMware ESXi 8.0 U3,10.72.228.122,ITS-AppSupport,K. Chen,NetApp SupportEdge,2028-05-11 00:00:00,24x7x4,2026-06-11 00:00:00,283
GA-BADGEA-999D,VM,Active,Badge/Access Control,QA,Confidential,Red,PWY-DC1,"Tupelo, MS",Windows Server 2019,10.16.204.79,ITS-Storage,R. Patel,Dell ProSupport,2027-09-22 00:00:00,24x7x4,2026-03-03 00:00:00,114
GA-LICENS-405B,Application,Active,License Server,Stage,Restricted,Green,PWY-DC1,"Tupelo, MS",RHEL 9.5,"10.56.27.135, 10.56.179.254",ITS-Security,D. Kim,HPE Pointnext,2026-09-11 00:00:00,NBD,2026-02-22 00:00:00,377
GA-TELEME-621A,Server,Active,Telemetry Ingest,Dev,Confidential,Black,SD-DC1,"Poway, CA",Ubuntu 24.04 LTS,10.16.201.196,ITS-Virtualization,C. Davis,CDW,2026-03-11 00:00:00,24x7x2,2026-06-12 00:00:00,171
GA-SHAREP-775D,Appliance,Active,SharePoint,QA,Public,Yellow,AWS-GovCloud,"Palmdale, CA",Windows Server 2025,10.24.92.168,ITS-AppSupport,T. Nguyen,Cisco SmartNet,2027-01-04 00:00:00,24x7x2,2026-02-06 00:00:00,341
GA-MONITO-942D,Network Device,Active,Monitoring,QA,Unclassified,Black,PWY-DC1,Remote/Colo,Windows Server 2016,10.8.198.184,ITS-Virtualization,H. Lewis,SHI,2026-10-12 00:00:00,24x7x2,2026-02-24 00:00:00,343
GA-PAYROL-962D,VM,Decommissioned,Payroll,Prod,CUI,Red,PMD-DC1,"Poway, CA",VMware ESXi 7.0 U3,10.16.43.127,ITS-Virtualization,R. Patel,NetApp SupportEdge,2029-12-23 00:00:00,NBD,2026-03-23 00:00:00,56
OEFBGC41,VM,Active,License Server,Prod,CUI,Blue,PWY-DC1,"San Diego, CA",RHEL 9.5,10.16.134.40,ITS-Infrastructure,C. Davis,Cisco SmartNet,2026-11-16 00:00:00,NBD,2026-06-29 00:00:00,228
GA-ERP-594A,Application,Maintenance,ERP,Prod,Unclassified,Yellow,HSV-DC1,"Palmdale, CA",Windows Server 2019,10.64.204.90,ITS-Network,D. Kim,NetApp SupportEdge,2029-10-04 00:00:00,24x7x4,2026-04-25 00:00:00,282
GA-HRPORT-648D,Server,Retired,HR Portal,Stage,Restricted,Yellow,SD-DC2,"Huntsville, AL",RHEL 9.5,10.16.18.252,ITS-Infrastructure,M. Williams,Cisco SmartNet,2029-04-14 00:00:00,24x7x4,2026-04-13 00:00:00,386
GA-FILESE-646B,Network Device,Active,File Services,Test,Public,Blue,AWS-GovCloud,"Poway, CA",Windows Server 2016,10.80.70.112,ITS-Infrastructure,T. Nguyen,NetApp SupportEdge,2028-01-15 00:00:00,Best Effort,2026-07-10 00:00:00,276
GA-DOMAIN-173A,Network Device,Active,Domain Services,QA,Confidential,Red,PWY-DC1,"Tupelo, MS",RHEL 9.5,"10.80.246.83, 10.80.197.31",ITS-EndUser,C. Davis,HPE Pointnext,2027-05-27 00:00:00,24x7x4,2026-04-22 00:00:00,243
GA-SHAREP-535A,Server,Active,SharePoint,Prod,Confidential,Green,PMD-DC1,"San Diego, CA",Windows Server 2025,10.56.13.66,ITS-Storage,J. Martinez,Insight,2027-10-04 00:00:00,24x7x4,2026-07-15 00:00:00,177
XEMPXXQU86,VM,Active,Backup,Prod,Restricted,Blue,SD-DC1,"San Diego, CA",RHEL 9.5,10.16.136.233,ITS-Infrastructure,K. Chen,NetApp SupportEdge,2026-02-26 00:00:00,NBD,2026-06-21 00:00:00,68
ZGBXDU95,Server,Active,ERP,Stage,Public,Black,SD-DC1,Remote/Colo,Windows Server 2016,"10.56.206.18, 10.56.235.66",ITS-EndUser,D. Kim,Cisco SmartNet,2026-12-02 00:00:00,24x7x4,2026-05-16 00:00:00,81
GA-SERVIC-792B,Server,Active,ServiceNow MID,QA,CUI,Yellow,TUP-DC1,"Tupelo, MS",RHEL 8.10,10.16.160.6,ITS-Virtualization,E. Robinson,Dell ProSupport,2030-04-20 00:00:00,NBD,2026-06-03 00:00:00,188
GA-LICENS-600B,Application,Decommissioned,License Server,Stage,Public,Green,SD-DC2,"Huntsville, AL",RHEL 8.10,10.32.75.182,ITS-Security,S. Johnson,Insight,2030-05-31 00:00:00,8x5,2026-03-03 00:00:00,80
GA-HRPORT-343B,VM,Provisioning,HR Portal,QA,Restricted,Green,PMD-DC1,"Poway, CA",Ubuntu 22.04 LTS,10.8.23.127,ITS-Network,R. Patel,CDW,2026-01-19 00:00:00,8x5,2026-02-24 00:00:00,45
GA-TELEME-114B,Network Device,Active,Telemetry Ingest,DR,ITAR,Red,SD-DC1,Remote/Colo,Windows Server 2025,10.56.27.80,ITS-EndUser,E. Robinson,Dell ProSupport,2027-03-02 00:00:00,8x5,2026-07-20 00:00:00,14
GA-PRINTS-089,Application,Retired,Print Services,QA,Confidential,Yellow,PMD-DC1,"Palmdale, CA",RHEL 8.10,10.16.226.33,ITS-EndUser,M. Williams,Dell ProSupport,2025-10-26 00:00:00,24x7x4,2026-06-26 00:00:00,45
GA-EMAILG-573A,Server,Decommissioned,Email Gateway,Dev,ITAR,Blue,TUP-DC1,"Tupelo, MS",Windows Server 2025,10.8.107.89,ITS-Storage,B. Thomas,SHI,2029-12-29 00:00:00,8x5,2026-06-07 00:00:00,354
BAZY76,Server,Active,Badge/Access Control,QA,Restricted,Green,SD-DC2,"Huntsville, AL",Appliance OS 5.1,10.72.107.60,ITS-Network,C. Davis,Insight,2025-10-13 00:00:00,NBD,2026-07-26 00:00:00,348
GA-SERVIC-374A,Storage Array,Active,ServiceNow MID,Prod,CUI,Green,PWY-DC1,"Huntsville, AL",Appliance OS 5.1,"10.24.10.114, 10.24.132.153",ITS-Network,B. Thomas,Insight,2028-03-22 00:00:00,NBD,2026-05-30 00:00:00,151
FSIUTB12,Application,Active,CI/CD,Prod,CUI,Blue,HSV-DC1,"San Diego, CA",Ubuntu 24.04 LTS,10.48.31.13,ITS-Storage,S. Johnson,Dell ProSupport,2029-04-24 00:00:00,8x5,2026-03-22 00:00:00,110
WGVGW92,Appliance,Active,Database Services,Test,ITAR,Red,PWY-DC1,"Huntsville, AL",Windows Server 2022,10.80.99.83,ITS-Security,C. Davis,Dell ProSupport,2027-05-16 00:00:00,24x7x2,2026-04-28 00:00:00,186
GA-MONITO-725D,VM,Retired,Monitoring,DR,Public,Yellow,SD-DC1,Remote/Colo,VMware ESXi 8.0 U3,10.40.227.236,ITS-Storage,K. Chen,Cisco SmartNet,2026-11-01 00:00:00,24x7x2,2026-07-08 00:00:00,345
GA-PAYROL-785P,Server,Active,Payroll,Test,Restricted,Yellow,AWS-GovCloud,"Palmdale, CA",Windows Server 2025,10.8.51.73,ITS-EndUser,N. Clark,Dell ProSupport,2027-04-28 00:00:00,8x5,2026-05-03 00:00:00,162
IRST85,Application,Maintenance,Telemetry Ingest,DR,Unclassified,Green,AWS-GovCloud,"Huntsville, AL",Windows Server 2025,10.96.100.183,ITS-Infrastructure,L. Brown,HPE Pointnext,2029-05-28 00:00:00,Best Effort,2026-05-09 00:00:00,259
GA-BACKUP-217P,VM,Active,Backup,QA,CUI,Yellow,SD-DC1,Remote/Colo,RHEL 9.4,10.48.176.8,ITS-Network,N. Clark,Cisco SmartNet,2027-09-15 00:00:00,24x7x2,2026-06-21 00:00:00,383
GA-BACKUP-314P,Network Device,Active,Backup,Prod,CUI,Green,PWY-DC1,"Palmdale, CA",Cisco IOS 17.9,10.32.90.54,ITS-Virtualization,M. Williams,HPE Pointnext,2027-01-13 00:00:00,8x5,2026-07-18 00:00:00,366
GA-CICD-141D,Server,Maintenance,CI/CD,DR,Unclassified,Blue,PWY-DC1,"San Diego, CA",VMware ESXi 7.0 U3,10.96.200.110,ITS-Network,H. Lewis,HPE Pointnext,2026-10-04 00:00:00,Best Effort,2026-04-18 00:00:00,35
GA-HRPORT-169B,Server,Active,HR Portal,Prod,Confidential,Blue,HSV-DC1,Remote/Colo,Windows Server 2022,10.88.73.133,ITS-Infrastructure,J. Martinez,CDW,2026-03-16 00:00:00,24x7x4,2026-05-19 00:00:00,292
QFXLZ74,Server,Maintenance,SharePoint,Dev,ITAR,Black,TUP-DC1,"Poway, CA",Ubuntu 22.04 LTS,10.64.182.29,ITS-Infrastructure,P. Anderson,Dell ProSupport,2027-08-01 00:00:00,24x7x4,2026-05-30 00:00:00,20
GA-WEBHOS-187,Network Device,Active,Web Hosting,Prod,Restricted,Black,PWY-DC1,"Huntsville, AL",VMware ESXi 8.0 U3,"10.32.182.197, 10.32.112.121",ITS-Security,J. Martinez,HPE Pointnext,2028-02-22 00:00:00,8x5,2026-08-01 00:00:00,344
GA-FILESE-602,VM,Active,File Services,Prod,Confidential,Blue,PMD-DC1,"Tupelo, MS",Windows Server 2025,10.24.53.102,ITS-Storage,K. Chen,Insight,2028-12-14 00:00:00,24x7x2,2026-04-23 00:00:00,174
GA-MONITO-322,Server,Retired,Monitoring,Prod,CUI,Black,SD-DC1,Remote/Colo,Ubuntu 24.04 LTS,10.88.118.137,ITS-Infrastructure,K. Chen,Insight,2029-12-05 00:00:00,NBD,2026-03-29 00:00:00,363
GA-HRPORT-187A,VM,Active,HR Portal,Test,Confidential,Red,TUP-DC1,"Tupelo, MS",VMware ESXi 8.0 U3,10.8.142.174,ITS-Virtualization,E. Robinson,Insight,2028-02-02 00:00:00,8x5,2026-04-01 00:00:00,12
BITC19,Application,Active,Monitoring,Test,Confidential,Red,SD-DC1,Remote/Colo,Windows Server 2016,10.72.117.76,ITS-Security,M. Williams,SHI,2030-01-10 00:00:00,24x7x4,2026-07-25 00:00:00,163
MXDXHIVZ67,Storage Array,Provisioning,Telemetry Ingest,Prod,Confidential,Black,HSV-DC1,"Huntsville, AL",Ubuntu 22.04 LTS,10.40.234.33,ITS-EndUser,H. Lewis,Insight,2026-05-24 00:00:00,NBD,2026-04-28 00:00:00,296
GA-CADPLM-339P,VM,Active,CAD/PLM,Prod,ITAR,Red,SD-DC1,Remote/Colo,VMware ESXi 7.0 U3,"10.40.162.90, 10.40.84.168",ITS-Storage,B. Thomas,Cisco SmartNet,2030-01-25 00:00:00,Best Effort,2026-06-23 00:00:00,180
PPYGXOKR71,Network Device,Retired,License Server,Prod,ITAR,Black,SD-DC1,"Palmdale, CA",VMware ESXi 7.0 U3,10.64.128.55,ITS-Virtualization,S. Johnson,Cisco SmartNet,2027-04-24 00:00:00,Best Effort,2026-06-11 00:00:00,261
GA-LICENS-217B,Server,Maintenance,License Server,DR,Confidential,Red,HSV-DC1,"Palmdale, CA",Ubuntu 24.04 LTS,10.96.200.33,ITS-Security,H. Lewis,CDW,2026-04-18 00:00:00,24x7x4,2026-03-07 00:00:00,16
NFGIQ53,VM,Retired,ERP,Stage,Public,Blue,SD-DC2,Remote/Colo,VMware ESXi 8.0 U3,"10.24.29.246, 10.24.80.19",ITS-EndUser,M. Williams,NetApp SupportEdge,2030-05-05 00:00:00,24x7x4,2026-07-08 00:00:00,9
GA-VDI-208B,Server,Active,VDI,Prod,Restricted,Blue,AWS-GovCloud,"Poway, CA",Windows Server 2022,10.88.58.27,ITS-Security,P. Anderson,Insight,2028-05-09 00:00:00,24x7x2,2026-07-25 00:00:00,385
XDZJIW34,VM,Active,Print Services,DR,Restricted,Red,SD-DC2,"Tupelo, MS",RHEL 9.4,10.32.158.145,ITS-AppSupport,L. Brown,Dell ProSupport,2030-01-13 00:00:00,24x7x2,2026-03-13 00:00:00,23
GA-VDI-316A,Network Device,Active,VDI,Prod,Public,Red,TUP-DC1,Remote/Colo,Ubuntu 24.04 LTS,"10.16.190.129, 10.16.226.29",ITS-Storage,L. Brown,Insight,2028-02-18 00:00:00,24x7x4,2026-05-10 00:00:00,75
GA-MONITO-947A,Application,Active,Monitoring,Prod,Unclassified,Blue,AWS-GovCloud,"Poway, CA",RHEL 9.4,10.48.65.21,ITS-Security,E. Robinson,NetApp SupportEdge,2026-06-16 00:00:00,24x7x4,2026-03-14 00:00:00,168
KTLFPV40,Appliance,Active,ServiceNow MID,QA,Confidential,Black,AWS-GovCloud,"Palmdale, CA",VMware ESXi 7.0 U3,10.80.208.101,ITS-Storage,T. Nguyen,Insight,2027-12-17 00:00:00,NBD,2026-03-12 00:00:00,1
GA-DATABA-676P,VM,Active,Database Services,Prod,ITAR,Blue,AWS-GovCloud,"San Diego, CA",Windows Server 2019,"10.56.175.251, 10.56.109.30",ITS-Storage,E. Robinson,HPE Pointnext,2030-05-13 00:00:00,Best Effort,2026-04-09 00:00:00,367
GA-DATABA-392P,Storage Array,Active,Database Services,Prod,Unclassified,Yellow,PWY-DC1,Remote/Colo,Ubuntu 24.04 LTS,10.64.1.95,ITS-EndUser,R. Patel,CDW,2027-07-11 00:00:00,NBD,2026-04-07 00:00:00,143
GA-BACKUP-655P,Storage Array,Active,Backup,Dev,CUI,Black,SD-DC1,Remote/Colo,Ubuntu 22.04 LTS,10.88.150.107,ITS-AppSupport,N. Clark,SHI,2028-04-08 00:00:00,8x5,2026-04-04 00:00:00,107
GA-LICENS-793B,Storage Array,Retired,License Server,Prod,CUI,Yellow,HSV-DC1,"Poway, CA",RHEL 9.4,10.40.90.242,ITS-EndUser,K. Chen,Insight,2029-03-25 00:00:00,24x7x2,2026-05-13 00:00:00,362
ZQIYT35,Server,Active,Domain Services,Prod,ITAR,Blue,TUP-DC1,"Tupelo, MS",Ubuntu 22.04 LTS,10.40.153.232,ITS-Virtualization,C. Davis,CDW,2029-10-28 00:00:00,24x7x2,2026-03-17 00:00:00,283
FRVW63,Application,Active,CAD/PLM,QA,CUI,Blue,PWY-DC1,"Palmdale, CA",VMware ESXi 8.0 U3,10.80.120.221,ITS-Storage,D. Kim,NetApp SupportEdge,2028-02-16 00:00:00,8x5,2026-03-09 00:00:00,313
GA-MONITO-260,Server,Active,Monitoring,Prod,Public,Green,HSV-DC1,"Poway, CA",Ubuntu 22.04 LTS,10.24.0.78,ITS-Security,C. Davis,Dell ProSupport,2026-02-03 00:00:00,24x7x2,2026-07-03 00:00:00,189
JUFQO37,VM,Active,License Server,Prod,ITAR,Yellow,HSV-DC1,"San Diego, CA",Ubuntu 22.04 LTS,10.96.27.217,ITS-Virtualization,T. Nguyen,HPE Pointnext,2026-05-07 00:00:00,NBD,2026-02-06 00:00:00,286
GA-DOMAIN-391P,VM,Active,Domain Services,Stage,Unclassified,Black,HSV-DC1,"Poway, CA",Windows Server 2025,10.72.208.91,ITS-Security,D. Kim,NetApp SupportEdge,2028-05-02 00:00:00,Best Effort,2026-03-21 00:00:00,128
ZNVUH43,VM,Provisioning,File Services,Test,CUI,Black,TUP-DC1,"Palmdale, CA",Ubuntu 22.04 LTS,10.8.100.32,ITS-Infrastructure,B. Thomas,NetApp SupportEdge,2027-08-26 00:00:00,NBD,2026-05-06 00:00:00,1
GA-CADPLM-233P,Server,Active,CAD/PLM,Prod,Unclassified,Yellow,TUP-DC1,"Poway, CA",RHEL 9.4,"10.88.11.218, 10.88.102.233",ITS-Infrastructure,P. Anderson,Insight,2029-09-03 00:00:00,Best Effort,2026-04-01 00:00:00,216
AGARNP63,Server,Decommissioned,ERP,DR,Restricted,Blue,SD-DC1,"Palmdale, CA",VMware ESXi 7.0 U3,10.64.149.98,ITS-AppSupport,M. Williams,Cisco SmartNet,2026-09-13 00:00:00,24x7x4,2026-05-22 00:00:00,223
GA-DNSDHC-691D,Network Device,Retired,DNS/DHCP,DR,Unclassified,Blue,AWS-GovCloud,"Palmdale, CA",Cisco IOS 17.9,10.56.178.29,ITS-Security,M. Williams,Cisco SmartNet,2026-03-21 00:00:00,NBD,2026-07-20 00:00:00,63
GA-TELEME-544,Application,Active,Telemetry Ingest,DR,Public,Yellow,TUP-DC1,Remote/Colo,VMware ESXi 8.0 U3,10.32.83.64,ITS-AppSupport,M. Williams,NetApp SupportEdge,2029-12-12 00:00:00,NBD,2026-04-11 00:00:00,34
UMHRWDZR39,Server,Active,Print Services,Prod,Restricted,Black,TUP-DC1,"Palmdale, CA",RHEL 9.4,10.72.97.157,ITS-Security,D. Kim,Insight,2026-02-14 00:00:00,8x5,2026-05-08 00:00:00,10
ZYABBZAB23,VM,Active,Monitoring,Prod,Confidential,Green,AWS-GovCloud,"San Diego, CA",Appliance OS 5.1,10.72.227.194,ITS-AppSupport,K. Chen,Insight,2028-05-19 00:00:00,Best Effort,2026-03-21 00:00:00,376
GA-PRINTS-069B,Application,Active,Print Services,Test,Public,Blue,AWS-GovCloud,"San Diego, CA",VMware ESXi 8.0 U3,10.80.231.219,ITS-Storage,J. Martinez,SHI,2026-05-18 00:00:00,NBD,2026-05-05 00:00:00,199
GA-DOMAIN-607D,VM,Decommissioned,Domain Services,Test,CUI,Blue,HSV-DC1,"Poway, CA",RHEL 9.5,10.40.243.50,ITS-Storage,H. Lewis,Dell ProSupport,2027-12-15 00:00:00,24x7x4,2026-03-02 00:00:00,207
GA-DATABA-366A,Server,Retired,Database Services,Stage,ITAR,Red,SD-DC2,"Tupelo, MS",VMware ESXi 8.0 U3,10.72.134.12,ITS-EndUser,S. Johnson,CDW,2026-11-10 00:00:00,8x5,2026-05-20 00:00:00,167
GA-BACKUP-513B,Server,Retired,Backup,DR,Public,Green,PMD-DC1,"Tupelo, MS",Windows Server 2022,10.32.167.253,ITS-Network,S. Johnson,SHI,2028-10-11 00:00:00,24x7x4,2026-02-13 00:00:00,246
GA-SHAREP-051A,Network Device,Decommissioned,SharePoint,QA,Confidential,Green,SD-DC2,"San Diego, CA",RHEL 8.10,"10.8.187.231, 10.8.45.9",ITS-Network,C. Davis,Dell ProSupport,2029-12-08 00:00:00,8x5,2026-06-11 00:00:00,7
GA-CADPLM-421D,Server,Active,CAD/PLM,QA,ITAR,Black,SD-DC2,Remote/Colo,Windows Server 2016,10.80.155.100,ITS-Virtualization,D. Kim,CDW,2029-08-10 00:00:00,NBD,2026-03-21 00:00:00,98
GA-PRINTS-154,VM,Decommissioned,Print Services,Prod,ITAR,Green,PMD-DC1,"Poway, CA",Windows Server 2019,"10.32.132.189, 10.32.13.56",ITS-Virtualization,N. Clark,HPE Pointnext,2026-03-24 00:00:00,24x7x2,2026-04-26 00:00:00,16
GA-ERP-157D,Appliance,Active,ERP,QA,Restricted,Black,PWY-DC1,"San Diego, CA",Windows Server 2016,"10.96.210.184, 10.96.232.149",ITS-Security,C. Davis,NetApp SupportEdge,2028-09-07 00:00:00,Best Effort,2026-03-03 00:00:00,223
GA-BACKUP-084B,VM,Active,Backup,Dev,ITAR,Red,SD-DC2,Remote/Colo,RHEL 8.10,10.56.29.162,ITS-Virtualization,K. Chen,HPE Pointnext,2028-09-17 00:00:00,Best Effort,2026-07-25 00:00:00,92
GA-VDI-923B,Application,Decommissioned,VDI,Dev,ITAR,Green,SD-DC1,"Poway, CA",VMware ESXi 7.0 U3,10.32.249.125,ITS-Virtualization,K. Chen,SHI,2025-11-19 00:00:00,Best Effort,2026-06-28 00:00:00,51
GA-TELEME-057D,VM,Active,Telemetry Ingest,QA,Restricted,Yellow,TUP-DC1,"Tupelo, MS",RHEL 9.5,10.48.12.211,ITS-EndUser,N. Clark,Cisco SmartNet,2026-03-31 00:00:00,8x5,2026-05-03 00:00:00,123
GA-CICD-137A,Server,Active,CI/CD,Stage,Public,Black,HSV-DC1,"Tupelo, MS",Ubuntu 22.04 LTS,"10.88.44.48, 10.88.20.196",ITS-AppSupport,L. Brown,HPE Pointnext,2030-01-09 00:00:00,NBD,2026-06-20 00:00:00,258
GA-BADGEA-441D,Appliance,Provisioning,Badge/Access Control,Stage,Public,Green,AWS-GovCloud,"Huntsville, AL",Windows Server 2022,10.80.107.170,ITS-Storage,T. Nguyen,Dell ProSupport,2028-10-21 00:00:00,24x7x4,2026-04-10 00:00:00,371
GA-VDI-658,VM,Retired,VDI,DR,Public,Yellow,SD-DC1,Remote/Colo,Ubuntu 22.04 LTS,10.64.99.78,ITS-AppSupport,M. Williams,Cisco SmartNet,2029-01-18 00:00:00,24x7x4,2026-02-07 00:00:00,296
GA-CICD-153,Appliance,Maintenance,CI/CD,Test,Unclassified,Blue,TUP-DC1,"Poway, CA",RHEL 9.4,"10.8.169.200, 10.8.239.186",ITS-Storage,K. Chen,HPE Pointnext,2026-06-21 00:00:00,Best Effort,2026-04-22 00:00:00,121
GA-EMAILG-947B,VM,Active,Email Gateway,Prod,Unclassified,Green,PWY-DC1,Remote/Colo,VMware ESXi 8.0 U3,10.56.156.47,ITS-EndUser,R. Patel,Dell ProSupport,2026-10-23 00:00:00,NBD,2026-07-14 00:00:00,164
